,arxiv_id,category_name,description
0,math.AC,Commutative Algebra,"Commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics"
1,math.AG,Algebraic Geometry,"Algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, quantum cohomology"
2,math.AP,Analysis of PDEs,"Existence and uniqueness, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDE's, conservation laws, qualitative dynamics"
3,math.AT,Algebraic Topology,"Homotopy theory, homological algebra, algebraic treatments of manifolds"
4,math.CA,Classical Analysis and ODEs,"Special functions, orthogonal polynomials, harmonic analysis, ODE's, differential relations, calculus of variations, approximations, expansions, asymptotics"
5,math.CO,Combinatorics,"Discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, combinatorial game theory"
6,math.CT,Category Theory,"Enriched categories, topoi, abelian categories, monoidal categories, homological algebra"
7,math.CV,Complex Variables,"Holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, analytic sheaves"
8,math.DG,Differential Geometry,"Complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, global analysis"
9,math.DS,Dynamical Systems,"Dynamics of differential equations and flows, mechanics, classical few-body problems, iterations, complex dynamics, delayed differential equations"
10,math.FA,Functional Analysis,"Banach spaces, function spaces, real functions, integral transforms, theory of distributions, measure theory"
11,math.GM,General Mathematics,"Mathematical material of general interest, topics not covered elsewhere"
12,math.GN,General Topology,"Continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties"
13,math.GR,Group Theory,"Finite groups, topological groups, representation theory, cohomology, classification and structure"
14,math.GT,Geometric Topology,"Manifolds, orbifolds, polyhedra, cell complexes, foliations, geometric structures"
15,math.HO,History and Overview,"Biographies, philosophy of mathematics, mathematics education, recreational mathematics, communication of mathematics, ethics in mathematics"
16,math.IT,Information Theory,math.IT is an alias for cs.IT. Covers theoretical and experimental aspects of information theory and coding.
17,math.KT,K-Theory and Homology,"Algebraic and topological K-theory, relations with topology, commutative algebra, and operator algebras"
18,math.LO,Logic,"Logic, set theory, point-set topology, formal mathematics"
19,math.MG,Metric Geometry,"Euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, symmetric spaces"
20,math.MP,Mathematical Physics,"math.MP is an alias for math-ph. Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories"
21,math.NA,Numerical Analysis,"Numerical algorithms for problems in analysis and algebra, scientific computation"
22,math.NT,Number Theory,"Prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, Galois theory"
23,math.OA,Operator Algebras,"Algebras of operators on Hilbert space, C^*-algebras, von Neumann algebras, non-commutative geometry"
24,math.OC,Optimization and Control,"Operations research, linear programming, control theory, systems theory, optimal control, game theory"
25,math.PR,Probability,"Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory"
26,math.QA,Quantum Algebra,"Quantum groups, skein theories, operadic and diagrammatic algebra, quantum field theory"
27,math.RA,Rings and Algebras,"Non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, semigroups"
28,math.RT,Representation Theory,"Linear representations of algebras and groups, Lie theory, associative algebras, multilinear algebra"
29,math.SG,Symplectic Geometry,"Hamiltonian systems, symplectic flows, classical integrable systems"
30,math.SP,Spectral Theory,"Schrodinger operators, operators on manifolds, general differential operators, numerical studies, integral operators, discrete models, resonances, non-self-adjoint operators, random operators/matrices"
31,math.ST,Statistics Theory,"Applied, computational and theoretical statistics: e.g. statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, case studies"
